#MetaNetX/TSV/stoichiometries.tsv 1.1
#ID	description	xrefs	gene_names
PPS	M_h2o@c	-1	M_h2o	c
PPS	M_h@c	2	M_h	c
PPS	M_pep@c	1	M_pep	c
PPS	M_pi@c	1	M_pi	c
PPS	M_pyr@c	-1	M_pyr	c
PTAr	M_accoa@c	-1	M_accoa	c
PTAr	M_actp@c	1	M_actp	c
PTAr	M_coa@c	1	M_coa	c
PTAr	M_pi@c	-1	M_pi	c
PYK	M_adp@c	-1	M_adp	c
PYK	M_atp@c	1	M_atp	c
PYK	M_h@c	-1	M_h	c
PYK	M_pep@c	-1	M_pep	c
PYK	M_pyr@c	1	M_pyr	c
PYRt2	M_h@c	1	M_h	c
PYRt2	M_h@e	-1	M_h	e
PYRt2	M_pyr@c	1	M_pyr	c
PYRt2	M_pyr@e	-1	M_pyr	e
RPE	M_ru5p__D@c	-1	M_ru5p__D	c
RPE	M_xu5p__D@c	1	M_xu5p__D	c
RPI	M_r5p@c	-1	M_r5p	c
RPI	M_ru5p__D@c	1	M_ru5p__D	c
SUCCt2_2	M_h@c	2	M_h	c
SUCCt2_2	M_h@e	-2	M_h	e
SUCCt2_2	M_succ@c	1	M_succ	c
SUCCt2_2	M_succ@e	-1	M_succ	e
SUCCt3	M_h@c	1	M_h	c
SUCCt3	M_h@e	-1	M_h	e
SUCCt3	M_succ@c	-1	M_succ	c
SUCCt3	M_succ@e	1	M_succ	e
SUCDi	M_fum@c	1	M_fum	c
SUCDi	M_q8@c	-1	M_q8	c
SUCDi	M_q8h2@c	1	M_q8h2	c
SUCDi	M_succ@c	-1	M_succ	c
SUCOAS	M_adp@c	1	M_adp	c
SUCOAS	M_atp@c	-1	M_atp	c
SUCOAS	M_coa@c	-1	M_coa	c
SUCOAS	M_pi@c	1	M_pi	c
SUCOAS	M_succ@c	-1	M_succ	c
SUCOAS	M_succoa@c	1	M_succoa	c
TALA	M_e4p@c	1	M_e4p	c
TALA	M_f6p@c	1	M_f6p	c
TALA	M_g3p@c	-1	M_g3p	c
TALA	M_s7p@c	-1	M_s7p	c
THD2	M_h@c	2	M_h	c
THD2	M_h@e	-2	M_h	e
THD2	M_nad@c	1	M_nad	c
THD2	M_nadh@c	-1	M_nadh	c
THD2	M_nadp@c	-1	M_nadp	c
THD2	M_nadph@c	1	M_nadph	c
TKT1	M_g3p@c	1	M_g3p	c
TKT1	M_r5p@c	-1	M_r5p	c
TKT1	M_s7p@c	1	M_s7p	c
TKT1	M_xu5p__D@c	-1	M_xu5p__D	c
TKT2	M_e4p@c	-1	M_e4p	c
TKT2	M_f6p@c	1	M_f6p	c
TKT2	M_g3p@c	1	M_g3p	c
TKT2	M_xu5p__D@c	-1	M_xu5p__D	c
TPI	M_dhap@c	-1	M_dhap	c
TPI	M_g3p@c	1	M_g3p	c
