#MetaNetX/TSV/reactions.tsv 1.1
#ID	equation	source	mnxr_ID	classifs	pathways	xrefs
MAR00046	1 MAM02040@l + 1 MAM03200@l --> 1 MAM01280@l + 1 MAM02751@l	MAR00046		3.1.3.2		biggR:3NTD7l;mnx:MNXR94935;vmhreaction:3NTD7l
MAR00047	1 MAM01597@m + 1 MAM02040@m + 1 MAM02552@m + 1 MAM00982@m --> 1 MAM01261@m + 1 MAM02039@m + 1 MAM02553@m + 1 MAM00996@m	MAR00047				biggR:4HBZCOAFm;mnx:MNXR95010;vmhreaction:4HBZCOAFm
MAR00048	1 MAM02040@m + 1 MAM00996@m --> 1 MAM00995@m + 1 MAM01597@m + 1 MAM02039@m	MAR00048				biggR:4HBZFm;mnx:MNXR95011;rheaR:11948;rheaR:11949;vmhreaction:4HBZFm
MAR00049	1 MAM02182@c <==> 1 MAM02182@r	MAR00049				biggR:4MPTNLtr;mnx:MNXR95036;vmhreaction:4MPTNLtr
MAR00050	1 MAM01100@e + 1 MAM02040@c <==> 1 MAM01100@c + 1 MAM02040@e	MAR00050				biggR:5FTHFt2;mnx:MNXR95074;vmhreaction:5FTHFt2
MAR00051	1 MAM02040@m + 1 MAM02552@m + 1 MAM01102@m --> 2 MAM02039@m + 1 MAM02553@m + 1 MAM01103@m	MAR00051		1.5.1.12		biggR:5HOXINDACTOXm;mnx:MNXR95081;vmhreaction:5HOXINDACTOXm
MAR00052	1 MAM01107@c + 1 MAM01371@c + 1 MAM02040@c --> 1 MAM01107@e + 1 MAM01285@c + 1 MAM02039@c + 1 MAM02751@c	MAR00052		1.13.11.52		biggR:5HTRPVESSEC;mnx:MNXR95084;vmhreaction:5HTRPVESSEC
MAR00053	1 MAM01115@e + 1 MAM02040@c <==> 1 MAM01115@c + 1 MAM02040@e	MAR00053				biggR:5MTHFt2;mnx:MNXR95089;vmhreaction:5MTHFt2
MAR00054	1 MAM02805@r <==> 1 MAM02805@c	MAR00054				biggR:7DHCHSTEROLtr;mnx:MNXR95108;vmhreaction:7DHCHSTEROLtr
MAR00055	2 MAM02040@c + 1 MAM00141@c --> 2 MAM02453@c + 1 MAM01382@c	MAR00055		3.2.1.24		biggR:A_MANASE;mnx:MNXR96148;vmhreaction:A_MANASE
MAR00056	1 MAM01253@c <==> 1 MAM01253@x	MAR00056		2.3.1.16		biggR:ACACtx;mnx:MNXR95208;rheaR:29751;rheaR:29754;vmhreaction:ACACtx
MAR00057	1 MAM01261@c <==> 1 MAM01261@r	MAR00057				biggR:ACCOAtr;mnx:MNXR95223;vmhreaction:ACCOAtr
MAR00058	1 MAM01260@c + 1 MAM01371@c + 1 MAM02040@c --> 1 MAM01260@e + 1 MAM01285@c + 1 MAM02039@c + 1 MAM02751@c	MAR00058				biggR:ACHVESSEC;mnx:MNXR95266;vmhreaction:ACHVESSEC
MAR00059	1 MAM00755@x + 1 MAM01803@x + 0.5 MAM02630@x --> 1 MAM00037@x + 1 MAM01802@x	MAR00059		1.3.3.6		biggR:ACOX22x;mnx:MNXR95389;vmhreaction:ACOX22x
MAR00060	1 MAM02634@c <==> 1 MAM02634@m	MAR00060		3.1.3.2		biggR:ACRNtm;mnx:MNXR95412;vmhreaction:ACRNtm
MAR00061	1 MAM01252@c + 1 MAM02039@c <==> 1 MAM01252@m + 1 MAM02039@m	MAR00061		2.1.1.4		biggR:ACt2m;mnx:MNXR95429;vmhreaction:ACt2m
MAR00062	1 MAM02040@m + 1 MAM01288@m --> 1 MAM01334@m + 2 MAM02039@m + 1 MAM02845@m	MAR00062		3.6.1.13		biggR:ADPRDPm;mnx:MNXR95480;vmhreaction:ADPRDPm
MAR00063	1 MAM00119@c <==> 1 MAM00119@x	MAR00063				biggR:ADRNCOAtx;mnx:MNXR95485;vmhreaction:ADRNCOAtx
MAR00064	1 MAM02636@c <==> 1 MAM02636@m	MAR00064				biggR:ADRNCRNt;mnx:MNXR95487;vmhreaction:ADRNCRNt
MAR00065	1 MAM01290@c + 1 MAM01371@c + 1 MAM02040@c --> 1 MAM01285@c + 1 MAM01290@e + 1 MAM02039@c + 1 MAM02751@c	MAR00065				biggR:ADRNLPVESSEC;mnx:MNXR95488;vmhreaction:ADRNLPVESSEC
MAR00066	1 MAM01307@l + 1 MAM02039@l <==> 1 MAM01307@c + 1 MAM02039@c	MAR00066				biggR:ALAt2rL;mnx:MNXR95704;vmhreaction:ALAt2rL
MAR00067	1 MAM02040@c + 1 MAM02552@c + 1 MAM00564@c --> 2 MAM02039@c + 1 MAM02553@c + 1 MAM02766@c	MAR00067				biggR:ALDD21;mnx:MNXR95747;vmhreaction:ALDD21
MAR00068	1 MAM01690@c + 1 MAM02040@c --> 1 MAM02751@c + 1 MAM01984@c	MAR00068		3.1.3.1		biggR:ALKP;mnx:MNXR95764;vmhreaction:ALKP
MAR00069	1 MAM00614@x + 0.5 MAM02630@x --> 1 MAM00755@x + 1 MAM02040@x	MAR00069		5.1.99.4		biggR:AMACR2p;mnx:MNXR95798;vmhreaction:AMACR2p
MAR00070	1 MAM00614@r + 0.5 MAM02630@r --> 1 MAM02040@r + 1 MAM00755@r	MAR00070		5.1.99.4		biggR:AMACR2r;mnx:MNXR95798;vmhreaction:AMACR2r
MAR00071	1 MAM00616@r --> 1 MAM00618@r	MAR00071		5.1.99.4		biggR:AMACRr;mnx:MNXR95799;vmhreaction:AMACRr
MAR00072	8 MAM02040@e + 1 MAM01992@e --> 8 MAM01965@e + 1 MAM03622@e	MAR00072		3.2.1.1		biggR:AMY2e;mnx:MNXR95833;vmhreaction:AMY2e
MAR00073	1 MAM02426@m + 1 MAM00185@m --> 1 MAM02039@m + 1 MAM02040@m + 1 MAM01356@m	MAR00073				biggR:APOCFm;mnx:MNXR95887;vmhreaction:APOCFm
MAR00074	1 MAM02040@m + 1 MAM01357@m --> 1 MAM00185@m + 1 MAM01400@m	MAR00074				biggR:APOC_LYS_BTNPm;mnx:MNXR95888;vmhreaction:APOC_LYS_BTNPm
MAR00075	1 MAM01773@c <==> 1 MAM01773@x	MAR00075				biggR:ARACHCOAtx;mnx:MNXR95914;vmhreaction:ARACHCOAtx
MAR00076	1 MAM01772@c <==> 1 MAM01772@m	MAR00076				biggR:ARACHCRNt;mnx:MNXR95916;vmhreaction:ARACHCRNt
MAR00077	1 MAM01364@c <==> 1 MAM01364@x	MAR00077		2.3.1.21		biggR:ARACHDCOAtx;mnx:MNXR95917;vmhreaction:ARACHDCOAtx
MAR00078	1 MAM01362@c <==> 1 MAM01362@r	MAR00078				biggR:ARACHDtr;mnx:MNXR95918;vmhreaction:ARACHDtr
MAR00079	1 MAM01365@c + 1 MAM02039@m <==> 1 MAM01365@m + 1 MAM02039@c	MAR00079		4.3.2.1		biggR:ARGtm;mnx:MNXR95954;vmhreaction:ARGtm
MAR00080	1 MAM01371@c + 1 MAM02040@c --> 1 MAM01285@c + 1 MAM02039@l + 1 MAM02751@c	MAR00080		3.6.3.14		biggR:ATPasel;mnx:MNXR96136;rheaR:13065;rheaR:13066;vmhreaction:ATPasel
MAR00081	1 MAM02593@g + 1 MAM03107@g --> 1 MAM02039@g + 1 MAM02594@g + 1 MAM03106@g	MAR00081				biggR:B3GNT312g;mnx:MNXR96177;vmhreaction:B3GNT312g
MAR00082	1 MAM01880@g + 1 MAM03107@g --> 1 MAM02039@g + 1 MAM03106@g + 1 MAM03584@g	MAR00082				biggR:B3GNT314g;mnx:MNXR96181;vmhreaction:B3GNT314g
MAR00083	1 MAM01514@x + 1 MAM01986@x --> 1 MAM01597@x + 1 MAM01988@x	MAR00083		2.3.1.65		biggR:BAAT1x;mnx:MNXR96202;vmhreaction:BAAT1x
MAR00084	1 MAM01986@x + 1 MAM03548@x --> 1 MAM01597@x + 1 MAM01987@x	MAR00084		2.3.1.65		biggR:BAAT3x;mnx:MNXR96204;vmhreaction:BAAT3x
MAR00085	1 MAM01434@x + 1 MAM01986@x --> 1 MAM01597@x + 1 MAM01987@x	MAR00085		2.3.1.65		biggR:BAAT4x;mnx:MNXR96205;vmhreaction:BAAT4x
MAR00086	1 MAM01371@m + 1 MAM02039@m + 1 MAM01401@m --> 1 MAM02759@m + 1 MAM01402@m	MAR00086		6.3.4.15		biggR:BACCLm;mnx:MNXR96208;vmhreaction:BACCLm
MAR00087	1 MAM01371@c + 1 MAM01383@c + 1 MAM02040@c --> 1 MAM01285@c + 1 MAM01383@e + 1 MAM02039@c + 1 MAM02751@c	MAR00087		2.3.1.65		biggR:BALAVECSEC;mnx:MNXR96211;vmhreaction:BALAVECSEC
