#MetaNetX/TSV/enzymes.tsv 1.1
#reac_ID	complex	LB	UB	direction
mnxr102241c3	PAAG_ECOLI+PAAJ_ECOLI	-1000	0	RL
mnxr102301c3	PUTA_ECOLI	-1000	0	RL
mnxr102302c3	P5CR_ECOLI	0	1000	LR
mnxr102304c3c19	MSBA_ECOLI	-1000	0	RL
mnxr102306c3c19	MSBA_ECOLI	-1000	0	RL
mnxr102308c3c19	MSBA_ECOLI	-1000	0	RL
mnxr102310c3c19	MSBA_ECOLI	-1000	0	RL
mnxr102312c2b		0	1000	LR
mnxr102312c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr102313c3c19		-1000	1000	B
mnxr102345c3	PANC_ECOLI	-1000	0	RL
mnxr102347c19	PGPB_ECOLI	-1000	0	RL
mnxr102347c3	PGPB_ECOLI	-1000	0	RL
mnxr102348c19	PGPB_ECOLI	-1000	0	RL
mnxr102348c3	PGPB_ECOLI	-1000	0	RL
mnxr102349c19	PGPB_ECOLI	-1000	0	RL
mnxr102349c3	PGPB_ECOLI	-1000	0	RL
mnxr102350c19	PGPB_ECOLI	-1000	0	RL
mnxr102350c3	PGPB_ECOLI	-1000	0	RL
mnxr102353c19	PGPB_ECOLI	-1000	0	RL
mnxr102353c3	PGPB_ECOLI	-1000	0	RL
mnxr102354c19	PGPB_ECOLI	-1000	0	RL
mnxr102354c3	PGPB_ECOLI	-1000	0	RL
mnxr102356c19	PGPB_ECOLI	-1000	0	RL
mnxr102356c3	PGPB_ECOLI	-1000	0	RL
mnxr102437c3		-1000	0	RL
mnxr102438c3	PDXH_ECOLI	-1000	0	RL
mnxr102439c3	PDXA_ECOLI+PDXJ_ECOLI	-1000	0	RL
mnxr102440c3	YBHA_ECOLI	-1000	0	RL
mnxr102441c3c19	MSBA_ECOLI	-1000	0	RL
mnxr102442c3c19	MSBA_ECOLI	-1000	0	RL
mnxr102443c3c19	MSBA_ECOLI	-1000	0	RL
mnxr102444c3c19	MSBA_ECOLI	-1000	0	RL
mnxr102445c3c19	MSBA_ECOLI	-1000	0	RL
mnxr102459c3c19	MSBA_ECOLI	-1000	0	RL
mnxr102461c19	AMO_ECOLI	-1000	0	RL
mnxr102462c2b		0	1000	LR
mnxr102462c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr102495c3	PDXB_ECOLI	-1000	1000	B
mnxr102499c19	EPTB_ECOLI	0	1000	LR
mnxr102500c19	EPTB_ECOLI	0	1000	LR
mnxr102516c19c3	MSBA_ECOLI	-1000	0	RL
mnxr102517c3c19	MSBA_ECOLI	-1000	0	RL
mnxr102518c3c19	MSBA_ECOLI	-1000	0	RL
mnxr102524c3c19	MSBA_ECOLI	-1000	0	RL
mnxr102527c3	SERA_ECOLI	-1000	0	RL
mnxr102543c3	GPH_ECOLI	0	1000	LR
mnxr102547c3	GPMA_ECOLI;GPMI_ECOLI	-1000	1000	B
mnxr102550c3c19	MSBA_ECOLI	-1000	0	RL
mnxr102551c3c19	MSBA_ECOLI	-1000	0	RL
mnxr102552c3c19	MSBA_ECOLI	-1000	0	RL
mnxr102558c3c19	MSBA_ECOLI	-1000	0	RL
