#MetaNetX/TSV/reactions.tsv 1.1
#ID	equation	source	mnxr_ID	classifs	pathways	xrefs
mnxr95462c2c3	1 MNXM1105760@MNXC2 + 1 MNXM27@MNXC2 --> 1 MNXM1105760@MNXC3 + 1 MNXM27@MNXC3	MAR04845	MNXR95462			biggR:ADNt4;bigg.reaction:ADNt4;bigg.reaction:R_ADNt4;biggR:R_ADNt4
mnxr95463c2c3	1 MNXM1105760@MNXC2 + 2 MNXM27@MNXC2 --> 1 MNXM1105760@MNXC3 + 2 MNXM27@MNXC3	MAR06355	MNXR95463			biggR:ADNt5;bigg.reaction:ADNt5;bigg.reaction:R_ADNt5;biggR:R_ADNt5
mnxr95474c2b	1 MNXM2800@MNXC2 <==> 1 MNXM2800@BOUNDARY	MAR10200	MNXR95474			biggR:ADPACTD;bigg.reaction:ADPACTD;bigg.reaction:ADPACtd;bigg.reaction:EX_adpac_e;bigg.reaction:R_ADPACTD;bigg.reaction:R_ADPACtd;bigg.reaction:R_EX_adpac_e;biggR:ADPACtd;biggR:EX_adpac_e;biggR:R_ADPACTD;biggR:R_ADPACtd;biggR:R_EX_adpac_e
mnxr95474c2c3	1 MNXM2800@MNXC2 <==> 1 MNXM2800@MNXC3	MAR10001	MNXR95474			biggR:ADPACTD;bigg.reaction:ADPACTD;bigg.reaction:ADPACtd;bigg.reaction:EX_adpac_e;bigg.reaction:R_ADPACTD;bigg.reaction:R_ADPACtd;bigg.reaction:R_EX_adpac_e;biggR:ADPACtd;biggR:EX_adpac_e;biggR:R_ADPACTD;biggR:R_ADPACtd;biggR:R_EX_adpac_e
mnxr95474c3c13	1 MNXM2800@MNXC13 <==> 1 MNXM2800@MNXC3	MAR04443	MNXR95474			biggR:ADPACTD;bigg.reaction:ADPACTD;bigg.reaction:ADPACtd;bigg.reaction:EX_adpac_e;bigg.reaction:R_ADPACTD;bigg.reaction:R_ADPACtd;bigg.reaction:R_EX_adpac_e;biggR:ADPACtd;biggR:EX_adpac_e;biggR:R_ADPACTD;biggR:R_ADPACtd;biggR:R_EX_adpac_e
mnxr95484c2b	1 MNXM40333@MNXC2 <==> 1 MNXM40333@BOUNDARY	MAR09255	MNXR95484			seedR:rxn29320;bigg.reaction:ADPtc;bigg.reaction:ADPtx;bigg.reaction:ATPt_m;bigg.reaction:EX_adp_e;bigg.reaction:R_ADPtc;bigg.reaction:R_ADPtx;bigg.reaction:R_ATPt_m;bigg.reaction:R_EX_adp_e;bigg.reaction:R_SK_adp_c;bigg.reaction:SK_adp_c;biggR:ADPtc;biggR:ADPtx;biggR:ATPt_m;biggR:EX_adp_e;biggR:R_ADPtc;biggR:R_ADPtx;biggR:R_ATPt_m;biggR:R_EX_adp_e;biggR:R_SK_adp_c;biggR:SK_adp_c;sabiork.reaction:14415;sabiorkR:14415;seed.reaction:rxn29320;seed.reaction:rxn31159;seed.reaction:rxn31177;seed.reaction:rxn32016;seed.reaction:rxn32017;seedR:rxn31159;seedR:rxn31177;seedR:rxn32016;seedR:rxn32017
mnxr95484c2c3	1 MNXM40333@MNXC2 <-- 1 MNXM40333@MNXC3	MAR07781	MNXR95484			seedR:rxn29320;bigg.reaction:ADPtc;bigg.reaction:ADPtx;bigg.reaction:ATPt_m;bigg.reaction:EX_adp_e;bigg.reaction:R_ADPtc;bigg.reaction:R_ADPtx;bigg.reaction:R_ATPt_m;bigg.reaction:R_EX_adp_e;bigg.reaction:R_SK_adp_c;bigg.reaction:SK_adp_c;biggR:ADPtc;biggR:ADPtx;biggR:ATPt_m;biggR:EX_adp_e;biggR:R_ADPtc;biggR:R_ADPtx;biggR:R_ATPt_m;biggR:R_EX_adp_e;biggR:R_SK_adp_c;biggR:SK_adp_c;sabiork.reaction:14415;sabiorkR:14415;seed.reaction:rxn29320;seed.reaction:rxn31159;seed.reaction:rxn31177;seed.reaction:rxn32016;seed.reaction:rxn32017;seedR:rxn31159;seedR:rxn31177;seedR:rxn32016;seedR:rxn32017
mnxr95484c3c13	1 MNXM40333@MNXC13 <==> 1 MNXM40333@MNXC3	MAR07782	MNXR95484			seedR:rxn29320;bigg.reaction:ADPtc;bigg.reaction:ADPtx;bigg.reaction:ATPt_m;bigg.reaction:EX_adp_e;bigg.reaction:R_ADPtc;bigg.reaction:R_ADPtx;bigg.reaction:R_ATPt_m;bigg.reaction:R_EX_adp_e;bigg.reaction:R_SK_adp_c;bigg.reaction:SK_adp_c;biggR:ADPtc;biggR:ADPtx;biggR:ATPt_m;biggR:EX_adp_e;biggR:R_ADPtc;biggR:R_ADPtx;biggR:R_ATPt_m;biggR:R_EX_adp_e;biggR:R_SK_adp_c;biggR:SK_adp_c;sabiork.reaction:14415;sabiorkR:14415;seed.reaction:rxn29320;seed.reaction:rxn31159;seed.reaction:rxn31177;seed.reaction:rxn32016;seed.reaction:rxn32017;seedR:rxn31159;seedR:rxn31177;seedR:rxn32016;seedR:rxn32017
mnxr95484c3c17	1 MNXM40333@MNXC17 <-- 1 MNXM40333@MNXC3	MAR09018	MNXR95484			seedR:rxn29320;bigg.reaction:ADPtc;bigg.reaction:ADPtx;bigg.reaction:ATPt_m;bigg.reaction:EX_adp_e;bigg.reaction:R_ADPtc;bigg.reaction:R_ADPtx;bigg.reaction:R_ATPt_m;bigg.reaction:R_EX_adp_e;bigg.reaction:R_SK_adp_c;bigg.reaction:SK_adp_c;biggR:ADPtc;biggR:ADPtx;biggR:ATPt_m;biggR:EX_adp_e;biggR:R_ADPtc;biggR:R_ADPtx;biggR:R_ATPt_m;biggR:R_EX_adp_e;biggR:R_SK_adp_c;biggR:SK_adp_c;sabiork.reaction:14415;sabiorkR:14415;seed.reaction:rxn29320;seed.reaction:rxn31159;seed.reaction:rxn31177;seed.reaction:rxn32016;seed.reaction:rxn32017;seedR:rxn31159;seedR:rxn31177;seedR:rxn32016;seedR:rxn32017
mnxr95485c3c13	1 MNXM1104760@MNXC13 <==> 1 MNXM1104760@MNXC3	MAR00063	MNXR95485			biggR:ADRNCOAtx;bigg.reaction:ADRNCOAtx;bigg.reaction:R_ADRNCOAtx;biggR:R_ADRNCOAtx
mnxr95487c3c4	1 MNXM8255@MNXC3 <==> 1 MNXM8255@MNXC4	MAR00064	MNXR95487			biggR:ADRNCRNt;bigg.reaction:ADRNCRNt;bigg.reaction:R_ADRNCRNt;biggR:R_ADRNCRNt
mnxr95488c3c2	2 MNXM1@MNXC3 + 3 MNXM31772@MNXC2 + 2 MNXM40333@MNXC3 + 2 MNXM9@MNXC3 <-- 3 MNXM31772@MNXC3 + 2 MNXM3@MNXC3 + 2 WATER@MNXC3	MAR07635	MNXR95488			biggR:ADRNLPVESSEC;bigg.reaction:ADRNLPVESSEC;bigg.reaction:R_ADRNLPVESSEC;biggR:R_ADRNLPVESSEC
mnxr95489c2b	1 MNXM31772@MNXC2 <==> 1 MNXM31772@BOUNDARY	MAR09095	MNXR95489			biggR:ADRNLtu;bigg.reaction:ADRNLtu;bigg.reaction:DM_adrnl_c;bigg.reaction:EX_adrnl_e;bigg.reaction:R_ADRNLtu;bigg.reaction:R_DM_adrnl_c;bigg.reaction:R_EX_adrnl_e;biggR:DM_adrnl_c;biggR:EX_adrnl_e;biggR:R_ADRNLtu;biggR:R_DM_adrnl_c;biggR:R_EX_adrnl_e
mnxr95489c2c3	1 MNXM31772@MNXC2 <==> 1 MNXM31772@MNXC3	MAR09192	MNXR95489			biggR:ADRNLtu;bigg.reaction:ADRNLtu;bigg.reaction:DM_adrnl_c;bigg.reaction:EX_adrnl_e;bigg.reaction:R_ADRNLtu;bigg.reaction:R_DM_adrnl_c;bigg.reaction:R_EX_adrnl_e;biggR:DM_adrnl_c;biggR:EX_adrnl_e;biggR:R_ADRNLtu;biggR:R_DM_adrnl_c;biggR:R_EX_adrnl_e
mnxr95490c2b	1 MNXM1108185@MNXC2 <==> 1 MNXM1108185@BOUNDARY	MAR00566	MNXR95490			biggR:ADRNt;bigg.reaction:ADRNt;bigg.reaction:EX_adrn_e;bigg.reaction:R_ADRNt;bigg.reaction:R_EX_adrn_e;biggR:EX_adrn_e;biggR:R_ADRNt;biggR:R_EX_adrn_e
mnxr95490c2c3	1 MNXM1108185@MNXC2 --> 1 MNXM1108185@MNXC3	MAR00412	MNXR95490			biggR:ADRNt;bigg.reaction:ADRNt;bigg.reaction:EX_adrn_e;bigg.reaction:R_ADRNt;bigg.reaction:R_EX_adrn_e;biggR:EX_adrn_e;biggR:R_ADRNt;biggR:R_EX_adrn_e
mnxr95490c3c17	1 MNXM1108185@MNXC17 --> 1 MNXM1108185@MNXC3	MAR09761	MNXR95490			biggR:ADRNt;bigg.reaction:ADRNt;bigg.reaction:EX_adrn_e;bigg.reaction:R_ADRNt;bigg.reaction:R_EX_adrn_e;biggR:EX_adrn_e;biggR:R_ADRNt;biggR:R_EX_adrn_e
