#MetaNetX/TSV/enzymes.tsv 1.1
#reac_ID	complex	LB	UB	direction
ARGDC	b4117	0	1000	LR
ARGDCpp	b2938	0	1000	LR
ARGORNt7pp	b1605	-1000	1000	B
ARGSL	b3960	-1000	1000	B
ARGSS	b3172	0	1000	LR
ARGabcpp	b0860+b0861+b0862+b0863+b0864;b2306+b2307+b2308+b2310	0	1000	LR
ARGt3pp	b2923	0	1000	LR
ARGtex	b0241;b0929;b1377;b2215	-1000	1000	B
ARHGDx	b2913	-1000	1000	B
ARMEPNS	b4096+b4099+b4100+b4101	0	1000	LR
ASAD	b3433	-1000	1000	B
ASCBPL	b4192	0	1000	LR
ASCBptspp	b2415+b2416+b4193+b4194+b4195	0	1000	LR
ASCBtex	b0241;b0929;b1377;b2215	-1000	1000	B
ASNN	b0828;b1767	0	1000	LR
ASNNpp	b2957	0	1000	LR
ASNS1	b0674	0	1000	LR
ASNS2	b0674;b3744	0	1000	LR
ASNt2rpp	b1453	-1000	1000	B
ASNtex	b0241;b0929;b1377;b2215	-1000	1000	B
ASO3t8pp	b3502	0	1000	LR
ASO3tex	b0241;b0929;b1377;b2215	-1000	1000	B
ASP1DC	b0131	0	1000	LR
ASPCT	b4244+b4245;b4245	0	1000	LR
ASPK	b0002;b3940;b4024	-1000	1000	B
ASPO3	b2574	0	1000	LR
ASPO4	b2574	0	1000	LR
ASPO5	b2574	0	1000	LR
ASPO6	b2574	0	1000	LR
ASPT	b4139	0	1000	LR
ASPTA	b0928;b4054	-1000	1000	B
ASPabcpp	b0652+b0653+b0654+b0655	0	1000	LR
ASPt2_2pp	b3528	0	1000	LR
ASPt2_3pp	b4123;b4138	0	1000	LR
ASPt2pp	b4077	0	1000	LR
ASPtex	b0241;b0929;b1377;b2215	-1000	1000	B
ASPtpp	b1206	-1000	1000	B
ASR	b1064+b3503	0	1000	LR
AST	b1747	0	1000	LR
ATHRDHr	b1539	-1000	1000	B
ATPHs	s0001	0	1000	LR
ATPM		6.86	1000	LR
ATPPRT	b2019	0	1000	LR
ATPS4rpp	b3731+b3732+b3733+b3734+b3735+b3736+b3737+b3738;b3731+b3732+b3733+b3734+b3735+b3736+b3737+b3738+b3739	-1000	1000	B
BALAt2pp	b4208	0	1000	LR
BALAtex	b0241;b0929;b1377;b2215	-1000	1000	B
BETALDHx	b0312	0	1000	LR
BETALDHy	b0312	0	1000	LR
BGLA1	b1734;b2716;b3721	0	1000	LR
