#SOLVER	GUROBI
#METHOD	
#TOLERANCE	1e-08
#GROWTH	0.876992529900906	BIOMASS_Ec_iML1515_core_75p37M
#GROWTH_SUB	0.876992529900903	BIOMASS_Ec_iML1515_core_75p37M
EX_fum_e	A
EX_fusa_e	B
EX_g1p_e	a
EX_g3pc_e	a
EX_g3pe_e	A
EX_g3pg_e	A
EX_g3pi_e	a
EX_g3ps_e	a
EX_g6p_e	a
EX_gal1p_e	a
EX_gal_bD_e	a
EX_gal_e	a
EX_galct__D_e	a
EX_galctn__D_e	a
EX_galctn__L_e	a
EX_galt_e	a
EX_galur_e	a
EX_gam6p_e	a
EX_gam_e	a
EX_gbbtn_e	B
EX_gdp_e	a
EX_glc__D_e	A
EX_glcn_e	A
EX_glcr_e	a
EX_glcur1p_e	a
EX_glcur_e	a
EX_gln__L_e	a
EX_glu__L_e	A
EX_gly_e	A
EX_glyald_e	A
EX_glyb_e	a
EX_glyc2p_e	a
EX_glyc3p_e	A
EX_glyc__R_e	A
EX_glyc_e	A
EX_glyclt_e	A
EX_gmp_e	a
EX_gsn_e	A
EX_gthox_e	b
EX_gthrd_e	A
EX_gtp_e	a
EX_gua_e	A
EX_h2_e	a
EX_h2o2_e	a
EX_h2o_e	A
EX_h2s_e	A
EX_h_e	A
EX_hacolipa_e	a
EX_halipa_e	a
EX_hdca_e	a
EX_hdcea_e	a
EX_hg2_e	B
EX_his__L_e	A
EX_hom__L_e	A
EX_hxa_e	A
EX_hxan_e	A
EX_idon__L_e	A
EX_ile__L_e	A
EX_imp_e	a
EX_indole_e	A
EX_inost_e	a
EX_ins_e	A
EX_isetac_e	a
EX_k_e	A
EX_lac__D_e	A
EX_lac__L_e	A
EX_lcts_e	a
EX_leu__L_e	A
EX_lipoate_e	b
EX_lys__L_e	A
EX_lyx__L_e	a
EX_mal__D_e	a
EX_mal__L_e	A
EX_malt_e	a
EX_malthx_e	a
EX_maltpt_e	a
EX_malttr_e	a
EX_maltttr_e	a
EX_man6p_e	a
EX_man_e	a
EX_manglyc_e	a
EX_melib_e	a
EX_meoh_e	A
EX_mepn_e	a
EX_met__D_e	B
EX_met__L_e	A
EX_metglcur_e	a
EX_metsox_R__L_e	a
EX_metsox_S__L_e	a
EX_mg2_e	A
EX_mincyc_e	B
EX_minohp_e	a
EX_mmet_e	a
EX_mn2_e	A
EX_mnl_e	a
EX_mobd_e	A
EX_mso3_e	a
EX_mththf_e	A
EX_n2o_e	a
EX_na1_e	B
EX_nac_e	a
EX_nh4_e	A
EX_ni2_e	A
EX_nmn_e	a
EX_no2_e	a
EX_no3_e	a
EX_no_e	a
EX_novbcn_e	B
EX_o2_e	A
EX_o2s_e	a
EX_ocdca_e	a
EX_ocdcea_e	a
EX_octa_e	a
EX_orn_e	A
EX_orot_e	a
EX_pacald_e	a
EX_peamn_e	a
EX_phe__L_e	A
EX_pheme_e	A
EX_pi_e	A
EX_pnto__R_e	a
EX_ppa_e	a
EX_ppal_e	a
EX_pppn_e	a
EX_ppt_e	a
EX_pro__L_e	A
EX_progly_e	a
EX_psclys_e	a
